Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,146.536865,150.751999,146.456940,150.697433,150.697433,691648227
2022-01-02,150.685303,152.936035,148.663101,151.255493,151.255493,680239631
2022-01-03,151.263397,151.263397,146.674194,148.461594,148.461594,755658603
2022-01-04,148.467773,151.332062,146.563065,146.812286,146.812286,789511706
2022-01-05,146.811295,149.545227,132.100754,136.089111,136.089111,1304198400
2022-01-06,136.077316,137.750534,133.315140,136.503784,136.503784,1136595284
2022-01-07,136.491867,136.525772,128.080902,131.488449,131.488449,1364180297
2022-01-08,131.494843,134.629150,126.747589,130.137482,130.137482,1002118315
2022-01-09,130.137344,132.477173,128.808777,131.298325,131.298325,710682825
2022-01-10,131.303879,131.515320,122.628685,126.833824,126.833824,1097888042
2022-01-11,126.826050,133.206680,126.287590,131.544983,131.544983,834900749
2022-01-12,131.554688,141.740128,131.272812,141.737198,141.737198,881585292
2022-01-13,141.736862,142.049240,135.361694,136.636520,136.636520,886433982
2022-01-14,136.646927,146.021194,136.363022,144.724915,144.724915,1204657825
2022-01-15,144.720245,149.921448,144.457947,147.937408,147.937408,1001838786
2022-01-16,147.932266,148.780289,144.254471,146.533203,146.533203,756580688
2022-01-17,146.534836,153.142883,145.170181,151.667267,151.667267,1608309071
2022-01-18,151.653900,152.902130,139.519150,141.890762,141.890762,1278790664
2022-01-19,141.888260,142.826355,133.737976,136.916702,136.916702,926249070
2022-01-20,136.896774,142.531723,130.361191,130.365005,130.365005,706911161
2022-01-21,130.392288,130.824646,112.425880,114.391869,114.391869,1680709016
2022-01-22,114.423241,116.679092,99.761009,108.428497,108.428497,2098519931
2022-01-23,108.462196,112.394455,106.599419,112.089508,112.089508,1135598050
2022-01-24,112.100815,112.194672,98.665222,109.591599,109.591599,1645918728
2022-01-25,109.592476,109.682343,106.339424,108.066376,108.066376,909091096
2022-01-26,108.062302,115.783005,105.849983,107.282181,107.282181,1064088735
2022-01-27,107.261360,109.468987,103.784393,106.953514,106.953514,825647673
2022-01-28,106.927483,109.839325,105.818733,109.432732,109.432732,683706404
2022-01-29,109.431198,111.854065,108.312485,110.823677,110.823677,592402655
2022-01-30,110.830025,112.042725,107.720047,108.799858,108.799858,537737428
2022-01-31,108.799171,110.989403,105.020073,109.587700,109.587700,691404381
2022-02-01,109.589439,116.365822,108.664413,115.402000,115.402000,824048434
2022-02-02,115.404503,115.882263,108.436996,108.556023,108.556023,743395485
2022-02-03,108.534653,110.287003,106.417969,110.287003,110.287003,683428425
2022-02-04,110.291100,120.922211,109.004990,120.918037,120.918037,953726676
2022-02-05,120.923294,123.394882,119.245705,121.916740,121.916740,736360985
2022-02-06,121.919350,127.445503,121.427155,127.445503,127.445503,782675364
